,author,content,description,publishedAt,source,title,url,urlToImage
0,Emily Price,"If youre considering relocating to a different country for work, some destinations are better than others. HSBC recently conducted its annual Expat Explorer survey, a global survey that looks at 22,318 expats across 163 different countries. When comparing cou… [+1329 chars]","If you’re considering relocating to a different country for work, some destinations are better than others. HSBC recently conducted its annual Expat Explorer survey, a global survey that looks at 22,318 expats across 163 different countries. When comparing co…",2018-10-21T14:07:00Z,"{'id': None, 'name': 'Lifehacker.com'}",These Are the Best Countries for Expats to Work In,https://lifehacker.com/these-are-the-best-countries-for-expats-to-work-in-1829893657,"https://i.kinja-img.com/gawker-media/image/upload/s--xJSPPlra--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/rjztbll1di4tiusu3khh.jpg"
1,Exclusive by Gerard Meagher,"The Six Nations is set to unveil HSBC as the championships new title sponsor, the Guardian understands. HSBC, which sponsored the 2009 and 2013 British &amp; Irish Lions tours of South Africa and Australia respectively, is in line to replace NatWest after jus… [+2110 chars]","• Bank sponsored 2009 and 2013 British & Irish Lions tours • Hearing will decide Danny Cipriani’s red-card fate this week The Six Nations is set to unveil HSBC as the championship’s new title sponsor, the Guardian understands. HSBC, which sponsored the 2009 a…",2018-10-21T18:25:04Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Six Nations set to unveil HSBC as championship’s new title sponsor,https://www.theguardian.com/sport/2018/oct/21/six-nations-hsbc-new-sponsor-danny-cipriani-disciplinary-hearing,https://i.guim.co.uk/img/media/d389832591c205b2622dbb41f93d30a01d0964cd/0_216_4921_2953/master/4921.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=6d73d955a73f73856041ba5db8a20c73
2,Ian Malin,Pool 1: Toulouse threaten to bruise After the eight-try drubbing of Wasps last weekend nobody was betting against Leinster repeating their Champions Cup triumph. But Pool 1 was thrown wide open on Sunday with Toulouses unexpected victory. Eddie Jones might no… [+5183 chars],Old glories on the rise with Dan Cole reviving Leicester forward power and Toulouse finding European title hunger once more Related: Six Nations set to unveil HSBC as championship’s new title sponsor Continue reading...,2018-10-22T08:17:46Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Rugby union: talking points from the European Champions Cup,https://www.theguardian.com/sport/blog/2018/oct/22/rugby-union-talking-points-from-european-champions-cup,https://i.guim.co.uk/img/media/ebe0ab4de7c3f0e3306aeb35646e66f7c5512528/0_0_2560_1536/master/2560.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=919eda4ada0036bf22f2911fc1c81d70
3,,"SHANGHAI -- Xander Schauffele gave the Americans a sweep of the World Golf Championships and quickly put a winless sophomore season behind him. Schauffele made birdie on his final three holes Sunday, the last one a two-putt birdie from about 30 feet on the pa… [+4434 chars]",Xander Schauffele gave the Americans a sweep of the World Golf Championships and quickly put a winless sophomore season behind him.,2018-10-28T11:39:40Z,"{'id': None, 'name': 'Espn.com'}",Schauffele wins HSBC for American WGC sweep,http://www.espn.com/golf/story/_/id/25104946/xander-schauffele-wins-hsbc-champions-us-sweep-world-golf-championships,http://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2017%2F0924%2Fr263204_1296x729_16%2D9.jpg
4,,SHANGHAI (AP) Tony Finau struggled for so much of Saturday in the HSBC Champions that he was hopeful of a strong finish to carry some momentum into the final round. He got much more than he imagined. Finau closed with three straight birdies for a 2-under 70 a… [+4314 chars],SHANGHAI (AP) — Tony Finau struggled for so much of Saturday in the HSBC Champions that he was hopeful of a strong finish to carry some momentum into the final round.,2018-10-27T11:13:24Z,"{'id': None, 'name': 'Yahoo.com'}",Late rally lets Tony Finau keep 3-shot lead in HSBC,https://www.yahoo.com/news/rally-lets-tony-finau-keep-3-shot-lead-083055018--spt.html,https://s.yimg.com/uu/api/res/1.2/jfqzPMHLGSf3_V2b6qfavw--~B/aD0xOTk5O3c9MzAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en_us/News/ap_webfeeds/b7cf93fd44dc4d858c86f06491819d73.jpg
5,Tom Simonite,"Google parent Alphabet generated 86 percent of its revenue from advertising last year. On Friday the woman leading its best shot at building a second big revenue stream said she is moving on. Diane Greene, a storied cloud computing entrepreneur and executive,… [+3403 chars]",Google trails Amazon and Microsoft in the business of renting computing power to other businesses.,2018-11-16T21:59:50Z,"{'id': 'wired', 'name': 'Wired'}",What Diane Greene's Departure Means for Google Cloud,https://www.wired.com/story/what-diane-greenes-departure-means-google-cloud/,https://media.wired.com/photos/5bef130eef5d1f76593721be/191:100/pass/Diane-Greene-h_14779949.jpg
6,"AP, AP","Justin Rose of England tees off for the second round of the HSBC Champions golf tournament held at the Sheshan International Golf Club in Shanghai, Friday, Oct. 26, 2018. (AP Photo/Ng Han Guan) (Photo: The Associated Press) SHANGHAI (AP) Tony Finau closed wit… [+867 chars]",Tony Finau finishes where he started with 3-shot lead at HSBC after closing with 3 straight birdies,2018-10-27T08:30:35Z,"{'id': 'usa-today', 'name': 'USA Today'}",Late rally lets Tony Finau keep 3-shot lead in HSBC,https://www.usatoday.com/story/sports/golf/2018/10/27/late-rally-lets-tony-finau-keep-3-shot-lead-in-hsbc/38297853/?utm_source=google&utm_medium=amp&utm_campaign=speakable,https://www.gannett-cdn.com/-mm-/f2e15e1d2e99af20a826c4458fe992aada71e3c7/c=0-135-2594-1594/local/-/media/2018/10/27/USATODAY/usatsports/832f14f205e7429497ab548f5ed58495.jpg?width=3200&height=1680&fit=crop
7,Riva Gold,"Global stocks showed signs of stabilizing Monday after another volatile week, supported by relief over Italys ratings and better-than-expected results from HSBC. The Stoxx Europe 600 was up 1% midmorning after closing Friday at its lowest level since December… [+3238 chars]","Global stocks showed signs of stabilizing after another volatile week, supported by relief over Italy’s ratings and better-than-expected results from HSBC.",2018-10-29T10:35:20Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Global Stocks Rebound at Start of the Week,https://www.wsj.com/articles/europe-stocks-rise-as-s-p-500-nears-correction-territory-1540803458,https://images.wsj.net/im-33352/social
8,Kari Paul,"Add HSBC to the long list of financial institutions whose customer data has have been compromised. Some U.S. customers of HBSC HSBC, +0.22% were alerted their accounts had been compromised in a letter dated Nov. 2. Less than 1% of the banks U.S. customers wer… [+2340 chars]",Customers should lock down their accounts.,2018-11-07T01:55:51Z,"{'id': None, 'name': 'Marketwatch.com'}",HSBC customer accounts compromised in data breach,https://www.marketwatch.com/story/hsbc-customer-accounts-compromised-in-data-breach-2018-11-06,http://s.marketwatch.com/public/resources/MWimages/MW-GE076_hsbc1_ZG_20180220170254.jpg
9,Shaun Nichols,HSBC admitted it has been relieved of the personal details of thousands of customers. The bank provided a disclosure (PDF) to the California Attorney General's Office late last week outlining its plan to notify customers of the data exposure. California law r… [+2006 chars],Bank fesses up to losing personal details of customers HSBC admitted it has been relieved of the personal details of thousands of customers.…,2018-11-06T19:48:48Z,"{'id': None, 'name': 'Theregister.co.uk'}",HSBC: Hapless Security Became Compromised,https://www.theregister.co.uk/2018/11/06/hsbc_security_broken/,https://regmedia.co.uk/2017/04/04/bank_robbery.jpg
