Date,Open,High,Low,Close,Adj Close,Volume
2017-11-20,null,null,null,null,null,null
2017-11-21,29369.689453,29818.070313,29343.480469,29818.070313,29818.070313,2467367300
2017-11-22,30087.189453,30199.689453,29911.070313,30003.490234,30003.490234,2474928600
2017-11-23,30033.179688,30169.990234,29593.789063,29707.939453,29707.939453,2099356300
2017-11-24,29788.179688,29918.919922,29696.589844,29866.320313,29866.320313,1534288700
2017-11-27,29857.650391,29859.109375,29610.960938,29686.189453,29686.189453,1485230700
2017-11-28,29608.640625,29687.449219,29334.589844,29680.849609,29680.849609,1744542000
2017-11-29,29813.939453,29831.189453,29563.390625,29623.830078,29623.830078,1434723600
2017-11-30,29340.269531,29353.509766,29127.300781,29177.349609,29177.349609,2435496800
2017-12-01,29261.310547,29345.970703,29028.759766,29074.240234,29074.240234,2086681200
2017-12-04,28951.189453,29343.779297,28803.189453,29138.279297,29138.279297,1624072100
2017-12-05,28898.580078,29124.240234,28838.119141,28842.800781,28842.800781,1439200300
2017-12-06,28850.359375,28929.210938,28204.529297,28224.800781,28224.800781,2605434400
2017-12-07,28366.140625,28478.339844,28134.929688,28303.189453,28303.189453,1782453900
2017-12-08,28400.009766,28705.759766,28344.390625,28639.849609,28639.849609,1747376700
2017-12-11,28645.410156,28998.509766,28645.410156,28965.289063,28965.289063,2127756300
2017-12-12,28972.740234,29066.769531,28745.730469,28793.880859,28793.880859,2135704400
2017-12-13,28856.779297,29276.669922,28707.599609,29222.099609,29222.099609,2574054200
2017-12-14,29335.759766,29367.509766,29047.609375,29166.380859,29166.380859,1959305700
2017-12-15,29000.109375,29017.660156,28738.839844,28848.109375,28848.109375,1999793000
2017-12-18,28923.529297,29143.330078,28821.189453,29050.410156,29050.410156,1637861800
2017-12-19,29193.740234,29339.109375,29144.169922,29253.660156,29253.660156,1633522100
2017-12-20,29199.289063,29326.519531,29159.279297,29234.089844,29234.089844,1308865200
2017-12-21,29209.640625,29431.810547,29145.130859,29367.060547,29367.060547,1440980300
2017-12-22,29505.050781,29578.009766,29413.859375,29578.009766,29578.009766,1282144300
2017-12-27,29632.970703,29693.820313,29516.509766,29597.660156,29597.660156,1725832000
2017-12-28,29684.789063,29873.099609,29661.060547,29863.710938,29863.710938,1339575400
2017-12-29,29914.050781,29997.960938,29849.310547,29919.150391,29919.150391,1365770800
2018-01-02,30028.289063,30515.310547,30028.289063,30515.310547,30515.310547,2442333400
2018-01-03,30658.730469,30724.320313,30456.759766,30560.949219,30560.949219,2309467700
2018-01-04,30691.710938,30796.929688,30560.429688,30736.480469,30736.480469,2995571100
2018-01-05,30893.859375,30911.009766,30638.529297,30814.640625,30814.640625,2263930100
2018-01-08,30895.089844,30929.150391,30732.539063,30899.529297,30899.529297,2004162500
2018-01-09,30933.509766,31056.699219,30852.429688,31011.410156,31011.410156,2004940800
2018-01-10,31009.240234,31267.570313,30928.580078,31073.720703,31073.720703,2595365800
