,author,content,description,publishedAt,source,title,url,urlToImage,count
0,newsfeedback@fool.com (Brian Richards),"Late last year, the Investor Education Centre published a study of retail investors in Hong Kong. The research was based on both quantitative surveys spanning more than a thousand respondents and qualitative interviews with focus group panels. One of the head… [+5176 chars]",The Hang Seng has been a long-term winner. Are Hong Kong investors benefiting?,2018-10-19 22:34:00,"{'id': None, 'name': 'Fool.com'}",4 Troubling Things About the State of Investing in Hong Kong,https://www.fool.com/investing/2018/10/19/4-troubling-things-about-the-state-of-investing-in.aspx,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F497035%2Fcentral-district-of-hong-kong-financial-hang-seng-index.jpg&h=630&w=1200&op=resize,1
1,PTI,"By: PTI | Beijing | Published: October 20, 2018 11:31:33 am The construction of the multibillion-dollar bridge had begun in December 2009. (AP Photo/Kin Cheung) The world’s longest sea bridge Hong Kong-Zhuhai-Macao Bridge will be thrown open for traffic on Oc… [+1119 chars]","It will slash the travel time between Hong Kong and Zhuhai from three hours to just 30 minutes, further integrating the cities in the Pearl River Delta.",2018-10-20 06:01:33,"{'id': None, 'name': 'Indianexpress.com'}",World’s longest sea bridge between China-Hong Kong to open on October 24,https://indianexpress.com/article/world/worlds-longest-sea-bridge-between-china-hong-kong-to-open-on-october-24-5410202/,https://images.indianexpress.com/2018/04/china-macau-sea-bridge-3.jpg?w=759,1
2,"Matthew Campbell, Natalie Obiko Pearson","(Bloomberg Businessweek) -- The black coupe pulled up outside the Starlight Casino in a suburb of Vancouver. The driver got out, greeted a man in a red shirt, and pulled two bulging white plastic bags from the trunk. He led the way into an empty noodle shop n… [+24480 chars]",Vancouver was the first place to experience the tidal wave of Chinese cash. Now the city is leading efforts to stop it.,2018-10-20 12:37:40,"{'id': None, 'name': 'Bloombergquint.com'}",Vancouver Drowning in Chinese Money...,https://www.bloombergquint.com/pursuits/vancouver-is-drowning-in-chinese-money,https://images.assettype.com/bloombergquint%2F2018-10%2Fe9bed3ca-0df3-46ee-b641-8d5fd7bc9fa3%2Fm1318057.jpg?rect=0%2C112%2C4000%2C2100&w=1200&auto=format%2Ccompress,1
3,P Chidambaram,"Written by P Chidambaram | Published: October 21, 2018 1:11:40 am The sense of contentment is despite the fact that jobs are scarce, the air is polluted, the water is unfit for drinking, the roads (except select national highways) are terrible, (Express Photo… [+5303 chars]","While ‘Right to Education’ vastly expanded enrolment of children, not enough attention was paid to the quality of the schools, the teachers and the instruction.",2018-10-20 19:41:40,"{'id': None, 'name': 'Indianexpress.com'}",We have failed our children,https://indianexpress.com/article/india/chidambaram-congress-bjp-polluttion-we-have-failed-our-children-water-scarcity-5410846/,https://images.indianexpress.com/2018/06/delhi-water-scarcity.jpg?w=759,1
4,"David Phelan, Contributor, David Phelan, Contributor https://www.forbes.com/sites/davidphelan/","With the date of the latest Apple event revealed as October 30, at the Brooklyn Academy of Music in New York, there is much anticipation about what the new iPad Pro, near-certain to be announced there, will be like. The next Apple iPad Pro may be thinner than… [+10314 chars]","If the new iPad Pro is to feature a USB-C connector, and since a USB-C to Apple Watch cable has just been released, is the writing on the wall for the Lightning connector on the iPhone?",2018-10-20 23:00:00,"{'id': None, 'name': 'Forbes.com'}",Rumor: iPad Pro To Ditch Lightning Connector. Will 2019 iPhone Follow?,https://www.forbes.com/sites/davidphelan/2018/10/20/rumor-ipad-pro-to-ditch-lightning-connector-will-2019-iphone-follow-release-date/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fblogs-images.forbes.com%2Fdavidphelan%2Ffiles%2F2018%2F10%2Fipad-pro-draw-colors-copy-1200x744.jpg,1
5,https://www.facebook.com/bbcnews,"Image copyright Beige Chuu Image caption Why has the West fallen in love with Korean beauty trends? For thousands of years the fashion conscious have used make-up to get their look just right, and keep up with fast-moving trends. Now, the global beauty indust… [+7230 chars]","A revolution in Korean beauty trends has come to the UK, but why does it appeal so much to millennials?",2018-10-20 23:51:20,"{'id': 'bbc-news', 'name': 'BBC News'}",K-beauty: The rise of Korean make-up in the West,https://www.bbc.co.uk/news/business-45820671,https://ichef.bbci.co.uk/news/1024/branded_news/B796/production/_103889964_1a.jpg,1
6,,"To continue, please click the box below to let us know you're not a robot.",,2018-10-21 05:33:46,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Hong Kong Property Billionaire Walter Kwok Dies, Family Says",https://www.bloomberg.com/tosv2.html?vid=&uuid=149e6ec0-d4fa-11e8-9c1b-dd1bfc1af454&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0xMC0yMS9ob25nLWtvbmctcHJvcGVydHktYmlsbGlvbmFpcmUtd2FsdGVyLWt3b2stZGllcy1mYW1pbHktc2F5cw==,,2
7,AP,"By: AP | Beijing | Published: October 21, 2018 11:37:54 am Zheng Xiaosong died on Saturday evening. (Representational image) China says its head representative to Macau has died after a fall from his residential building. The Hong Kong and Macau Affairs Offic… [+732 chars]","The Hong Kong and Macau Affairs Office of China's State Council says in a statement Sunday that Zheng Xiaosong, the director of China's liaison office in Macau, was suffering from depression.",2018-10-21 06:07:54,"{'id': None, 'name': 'Indianexpress.com'}",Top Macau official dies after falling from his residential building: China,https://indianexpress.com/article/world/top-macau-official-dies-after-falling-from-his-residential-building-china-5411206/,https://images.indianexpress.com/2018/10/suicide-759.jpg?w=759,1
8,,"Goldman Sachs two most senior Asia Pacific investment bankers Andrea Vella and Kate Richdale are moving out of their management roles, as the ripples from David Solomons appointment as chief executive spread across the Pacific. A person familiar with the situ… [+2537 chars]",Asia investment banking co-heads moved from management job to ‘chairmen’ role,2018-10-21 06:12:07,"{'id': 'financial-times', 'name': 'Financial Times'}",Goldman Sachs shuffles top Asia leadership,https://www.ft.com/content/26b97c08-d4e1-11e8-ab8e-6be0dcf18713,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fprod-upp-image-read.ft.com%2F9b415082-d4f0-11e8-aa22-36538487e3d0?source=next-opengraph&fit=scale-down&width=900,1
9,Reuters Editorial,"BEIJING (Reuters) - China’s top representative to Macau died late on Saturday after falling from the building where he lived, the Chinese government said on Sunday. Zheng Xiaosong, the head of China’s liaison office to Macau, had been suffering from depressio… [+1512 chars]","China's top representative to Macau died late on Saturday after falling from the building where he lived, the Chinese government said on Sunday.",2018-10-21 06:13:18,"{'id': 'reuters', 'name': 'Reuters'}",China's top Macau representative dead after falling from his building,https://www.reuters.com/article/us-china-macau/chinas-top-macau-representative-dead-after-falling-from-his-building-idUSKCN1MV031,https://s3.reutersmedia.net/resources/r/?m=02&d=20181021&t=2&i=1317000134&w=1200&r=LYNXNPEE9K07O,2
