,author,content,description,publishedAt,source,title,url,urlToImage,count
0,Gary Rivlin,"A Wall Street Coup Thousands of Kentucky public school teachers swarmed the state Capitol earlier this year, angry not about low salaries, but about their shrinking pensions. Among their concerns: the high portion of their money that has ended up in the hands… [+34578 chars]","Public pensions squander tens of billions of dollars each year on risky, poor-performing alternative investments like hedge funds. The post How Wall Street Drove Public Pensions Into Crisis and Pocketed Billions in Fees appeared first on The Intercept.",2018-10-20 13:00:23,"{'id': None, 'name': 'Theintercept.com'}",How Wall Street Drove Public Pensions Into Crisis and Pocketed Billions in Fees,https://theintercept.com/2018/10/20/public-pensions-crisis-wall-street-fees/,https://theintercept.imgix.net/wp-uploads/sites/1/2018/10/feature-1-FINAL-SUPER-1539967451.jpg?auto=compress%2Cformat&q=90&fit=crop&w=1200&h=800,1
1,香港矽谷,"ChainDD, a global information and technology company, will hold its inaugural CHAINSIGHTS Blockchain Leadership Summit 2018 in Lotte New York Place on October 22 to bring together thought leaders, influencers and innovators to address key issues, opportunitie… [+8420 chars]","ChainDD, a global information and technology company, will hold its inaugural CHAINSIGHTS Blockchain Leadership Summit 2018 in Lotte New York Place on October 22 to bring together thought leaders, i...",2018-10-20 17:00:00,"{'id': None, 'name': 'Hksilicon.com'}",2018 CHAINSIGHTS Blockchain Leadership Summit to be held in New York,https://www.hksilicon.com/articles/1689685,https://cdn.api.hksilicon.com/thumb/article/1689685/5?0,1
2,Kirill Romanov,"Hi, my name is Kirill. I am a co-founder of a blockchain-based project and a crypto investor. I have systematized market events over the last 9 months in order to draw an accurate picture and develop a future strategy. After gathering lots of useful informati… [+8770 chars]","Hi, my name is Kirill. I am a co-founder of a blockchain-based project and a crypto investor. I have systematized market events over the…",2018-10-21 20:34:53,"{'id': None, 'name': 'Hackernoon.com'}",Bitcoin: analyzing events over the last 9 months.,https://hackernoon.com/bitcoin-analyzing-events-over-the-last-9-months-1a2cb3d4b900,https://cdn-images-1.medium.com/max/1200/1*pXVcqoH-r96BV4I1e20xHg.png,1
3,,"When Endocyte inked a $2.1 billion acquisition deal Thursday (Oct. 18) to be purchased by Swiss pharmaceutical giant Novartis AG, it became the ninth Purdue University startup to be bought by a major national or international company. Many other Purdue startu… [+6100 chars]",( Purdue University ) Nine Purdue University startups based on university patented technologies have now been acquired by national and international companies.,2018-10-22 04:00:00,"{'id': None, 'name': 'Eurekalert.org'}",International firms have now acquired nine Purdue startups for tech strength,https://www.eurekalert.org/pub_releases/2018-10/pu-ifh102218.php,https://www.eurekalert.org/images/EurekAlert_StackedLogo_RGB.jpg,1
4,United Therapeutics Corporation; CollPlant,"NESS ZIONA, Israel and SILVER SPRING, Md., Oct. 22, 2018 /PRNewswire/ -- CollPlant (NASDAQ: CLGN, TASE: CLGN) and United Therapeutics Corporation (NASDAQ: UTHR ) today announced that they have entered into a license, development and commercialization agreemen… [+8925 chars]","NESS ZIONA, Israel and SILVER SPRING, Md., Oct. 22, 2018 /PRNewswire/ -- CollPlant (NASDAQ: CLGN, TASE: CLGN) and United Therapeutics Corporation (NASDAQ:UTHR) today announced that they have entered into a license, development and commercialization agreement …",2018-10-22 08:00:00,"{'id': None, 'name': 'Prnewswire.com'}",CollPlant and United Therapeutics Announce Global Licensing and Commercialization Agreement for 3D Bioprinting of Solid-Organ Scaffolds for Human Transplants,https://www.prnewswire.com/news-releases/collplant-and-united-therapeutics-announce-global-licensing-and-commercialization-agreement-for-3d-bioprinting-of-solid-organ-scaffolds-for-human-transplants-300734904.html,/content/dam/prnewswire/common/prn_facebook_sharing_logo.jpg,25
6,"Inspired Entertainment, Inc.","Each predetermined game will be tailored to ensure best practices in instant win game mechanics are intact, while also capturing the exciting gameplay that has made Virtual Sports grow to become an important product for lotteries and operators around the worl… [+6030 chars]","LONDON and NEW YORK, Oct. 22, 2018 /PRNewswire/ -- IWG, the award-winning supplier of online, instant win games, and Inspired Entertainment (Nasdaq: INSE), a world leader in Virtual Sports, have partnered together to deliver a brand new vertical for North Ame…",2018-10-22 09:30:00,"{'id': None, 'name': 'Prnewswire.com'}",IWG and Inspired Partner to Deliver Instant Win Virtual Sports to North American Lotteries,https://www.prnewswire.com/news-releases/iwg-and-inspired-partner-to-deliver-instant-win-virtual-sports-to-north-american-lotteries-300735021.html,https://mma.prnewswire.com/media/452284/Inspired_White_Logo.jpg?p=facebook,1
7,"Regeneron Pharmaceuticals, Inc.","TARRYTOWN, N.Y. and PARIS, Oct. 22, 2018 /PRNewswire/ -- Regeneron Pharmaceuticals, Inc. (NASDAQ: REGN ) and Sanofi today announced the U.S. Food and Drug Administration has approved Dupixent ® (dupilumab) as an add-on maintenance therapy in patients with mod… [+21493 chars]","TARRYTOWN, N.Y. and PARIS, Oct. 22, 2018 /PRNewswire/ -- Regeneron Pharmaceuticals, Inc. (NASDAQ: REGN) and Sanofi today announced the U.S. Food and Drug Administration has approved Dupixent® (dupilumab) as an add-on maintenance therapy in patients with moder…",2018-10-22 11:00:00,"{'id': None, 'name': 'Prnewswire.com'}",FDA Approves Asthma Indication for Dupixent® (dupilumab),https://www.prnewswire.com/news-releases/fda-approves-asthma-indication-for-dupixent-dupilumab-300734860.html,/content/dam/prnewswire/common/prn_facebook_sharing_logo.jpg,1
8,William Watts,"U.S. stock-index futures rose slightly Monday as global equities took a cue from a continued rebound by Chinas markets, and as investors looked ahead to this weeks deluge of third-quarter earnings reports. What are major indexes doing? Futures on the Dow Jone… [+2558 chars]",Stock-index futures traded slightly higher Monday as global equities took a cue from a continued recovery in China’s markets. Investors are gearing up for a heavy week of earnings.,2018-10-22 11:27:52,"{'id': None, 'name': 'Marketwatch.com'}",Market Snapshot: Stock futures point slightly higher as China equities rise; earnings in focus,https://www.marketwatch.com/story/stock-futures-point-slightly-higher-as-china-equities-rise-earnings-in-focus-2018-10-22,http://s.marketwatch.com/public/resources/MWimages/MW-GK414_wall_s_ZG_20180606100124.jpg,1
9,,"ATLANTA, Georgia – SCTE Cable-Tec Expo – October 22, 2018 – The service provider marketplace is evolving rapidly to support 5G, multicloud, IoT, smart cities and multi-Gigabit-speed bandwidth demand. Cable operators, in particular, are navigating this new lan… [+5530 chars]","The service provider marketplace is evolving rapidly to support 5G, multicloud, IoT, smart cities and multi-Gigabit-speed bandwidth demand. Cable operators, in particular, are navigating this new landscape by... More RSS Feed: newsroom.cisco....",2018-10-22 12:00:00,"{'id': None, 'name': 'Cisco.com'}",Cisco Showcases Networking Leadership at SCTE Cable-Tec Expo,https://newsroom.cisco.com/press-release-content?type=webcontent&articleId=1949622&utm_source=newsroom.cisco.com&utm_campaign=Release_1949622&utm_medium=RSS,https://newsroom.cisco.com/documents/10157/1890145/networking_thumb_800x450_001.jpg,2
10,CannabisNewsWire,"NEW YORK, October 22, 2018 /PRNewswire/ -- CannabisNewsWire Editorial Coverage Legal changes in Canada are creating an ideal base for cannabis companies, which are shifting their focus away from smoking. As the first G20 nation to make recreational cannabis l… [+15307 chars]","NEW YORK, October 22, 2018 /PRNewswire/ -- CannabisNewsWire Editorial Coverage Legal changes in Canada are creating an ideal base for cannabis companies, which are shifting their focus away from smoking. As the first G20 nation to make recreational cannabis l…",2018-10-22 12:30:00,"{'id': None, 'name': 'Prnewswire.com'}",Canada Leads International Cannabis Boom - and It's not About Smoking,https://www.prnewswire.com/news-releases/canada-leads-international-cannabis-boom-and-it-s-not-about-smoking-888024759.html,/content/dam/prnewswire/common/prn_facebook_sharing_logo.jpg,1
